"Gene Name"	"Array data file names"	"Composite Element Ref"	"Antibody.validation.status"	"Antibody.Origin"	"Antibody.Source..Company."	"Catalog.Number"	"Protein.function.and.regulatory.pathways"
"LCK"	"Lck-R-V_GBL9013483.txt"	"Lck-R-V"	"Validated"	"Rabbit"	"CST"	"2752"	"A member of Src family of protein tyrosine kinases"
"STK11"	"LKB1-M-E_GBL9013424.txt"	"LKB1-M-E"	"Under Evaluation"	"Mouse"	"Abcam"	"ab15095"	"Essential role in G1 cell cycle arrest. Phosphorylates and activates members of the AMPK-related subfamily of protein kinases. Tumor suppressor."
"MAPK1 MAPK3"	"MAPK_pT202_Y204-R-V_GBL9013265.txt"	"MAPK_pT202_Y204-R-V"	"Validated"	"Rabbit"	"CST"	"4377"	"MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation"
"MAP2K1"	"MEK1-R-V_GBL9013266.txt"	"MEK1-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1235-1"	"MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation"
"MAP2K1"	"MEK1_pS217_S221-R-V_GBL9013267.txt"	"MEK1_pS217_S221-R-V"	"Validated"	"Rabbit"	"CST"	"9154"	"MAPK pathway (Mitogen-activated protein kinases), Regulates cell growth and differentiation"
"ERRFI1"	"MIG-6-M-V_GBL9013383.txt"	"MIG-6-M-V"	"Validated"	"Mouse"	"Sigma"	"WH0054206M1"	"ERRFI1 (MIG6) is a cytoplasmic protein whose expression is upregulated with cell growth "
"MRE11A"	"Mre11-R-C_GBL9013268.txt"	"Mre11-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4847"	"A central part of a multisubunit nuclease composed of Mre11, Rad50 and Nbs1 (MRN), Plays a critical role in sensing, processing and repairing DNA double strand breaks"
"MSH2"	"MSH2-M-V_GBL9013419.txt"	"MSH2-M-V"	"Validated"	"Mouse"	"CST"	"2850"	"MSH2 (MutS homologue 2) forms the hMutS-_ dimer with MSH6 and is an essential component of the mismatch DNA repair process. "
"MSH6"	"MSH6-R-C_GBL9013269.txt"	"MSH6-R-C"	"Use with Caution"	"Rabbit"	"Novus Biologicals"	"22030002"	"MSH6 is a mismatch-repair protein. It forms the hMutS-_ dimer with MSH2 and is an essential component of the mismatch DNA repair process. It plays a role in tumor suppression."
"MTOR"	"mTOR-R-V_GBL9013270.txt"	"mTOR-R-V"	"Validated"	"Rabbit"	"CST"	"2983"	"The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway"
"MTOR"	"mTOR_pS2448-R-C_GBL9013504.txt"	"mTOR_pS2448-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2971"	"The mammalian target of rapamycin (mTOR, FRAP, RAFT) is a Ser/Thr protein kinase, a major component of PI3K/AKT pathway"
"MYH11"	"MYH11-R-V_GBL9029131.txt"	"MYH11-R-V"	"Validated"	"Rabbit"	"SDI / Novus"	"21370002"	"Myosin II forms bipolar filaments that interact with actin filaments to produce contraction."
"MYH9"	"Myosin-IIa-R-C_GBL9032524.txt"	"Myosin-IIa-R-C"	""	""	""	""	""
"MYH9"	"Myosin-IIa_pS1943-R-V_GBL9029132.txt"	"Myosin-IIa_pS1943-R-V"	"Validated"	"Rabbit"	"CST"	"5026"	"Non muscle myosin is an actin-based motor protein essential to cell motility, cell division, migration, adhesion, and polarity"
"CDH2"	"N-Cadherin-R-V_GBL9013432.txt"	"N-Cadherin-R-V"	"Validated"	"Rabbit"	"CST"	"4061"	"A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. "
"NDRG1"	"NDRG1_pT346-R-V_GBL9029117.txt"	"NDRG1_pT346-R-V"	"Validated"	"Rabbit"	"CST"	"3217"	"A member of the NDRG family functions in growth, differentiation, and cell survival "
"NF2"	"NF2-R-C_GBL9013272.txt"	"NF2-R-C"	"Use with Caution"	"Rabbit"	"SDI"	"2271.00.02"	"Neurofibromin 2 (NF2) is a tumor suppressor gene encoding the protein Merlin to provide a link between the actin cytoskeleten and membrane associated proteins, playing a role in transduction of extracellular signals"
"NFKB1"	"NF-kB-p65_pS536-R-C_GBL9013273.txt"	"NF-kB-p65_pS536-R-C"	"Use with Caution"	"Rabbit"	"CST"	"3033"	"Transcription factors of the nuclear factor _ B (NF-_B)/Rel family play a pivotal role in inflammatory and immune responses "
"NOTCH1"	"Notch1-R-V_GBL9013274.txt"	"Notch1-R-V"	"Validated"	"Rabbit"	"CST"	"3268"	"A member of transmembrane receptor family that play important roles in development and the determination of cell fate "
"NRAS"	"N-Ras-M-V_GBL9019139.txt"	"N-Ras-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-31"	"The three Ras oncogenes, H-Ras, K-Ras and N-Ras, encode proteins with GTP/GDP binding and GTPase activity. Activates MAPK pathway."
"CDKN2A"	"p16_INK4a-R-V_GBL9032534.txt"	"p16_INK4a-R-V"	""	""	""	""	""
"CDKN1A"	"p21-R-C_GBL9013276.txt"	"p21-R-C"	"Validated"	"Rabbit"	"Santa Cruz"	"SC-397"	"p21 is a potent, tight-binding inhibitor of Cdks and can inhibit the phosphorylation of Rb by cyclin A-Cdk 2, cyclin E-Cdk2, cyclin D1-Cdk4 and cyclin D2-Cdk4 complexes. Involves in p53 pathway and induces cell cycle arrest."
"CDKN1B"	"p27-R-V_GBL9013279.txt"	"p27-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1591-1"	"Regulates cell cycle arrest at G1 phase"
"CDKN1B"	"p27_pT157-R-C_GBL9013280.txt"	"p27_pT157-R-C"	"Use with Caution"	"Rabbit"	"R&D"	"AF1555"	"Regulates cell cycle arrest at G1 phase"
"CDKN1B"	"p27_pT198-R-V_GBL9013278.txt"	"p27_pT198-R-V"	"Validated"	"Rabbit"	"Abcam"	"ab64949"	"Involved in cell cycle arrest at G1 phase."
"MAPK14"	"p38_MAPK-R-C_GBL9013281.txt"	"p38_MAPK-R-C"	"Validated"	"Rabbit"	"CST"	"9212"	" A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK"
"MAPK14"	"p38_pT180_Y182-R-V_GBL9013282.txt"	"p38_pT180_Y182-R-V"	"Validated"	"Rabbit"	"CST"	"9211"	" A member of MAPKs. MKK3, MKK6, and SEK phosphorylate and activate p38 MAPK"
"TP53"	"p53-R-V_GBL9013437.txt"	"p53-R-V"	"Under Evaluation"	"Rabbit"	"CST"	"9282"	"Tumor suppressor and Transcription Factor, Regulates cell cycle arrest and apoptosis and DNA repair "
"SQSTM1"	"p62-LCK-ligand-M-E_GBL9013508.txt"	"p62-LCK-ligand-M-E"	"Under Evaluation"	"Mouse"	"BD Transduction Lab"	"610833"	"p62 lck ligand (zeta-interacting protein (ZIP)) is a cytoplasmic protein that binds to the SH2 domain of lck. It interacts with PKC_.."
"RPS6KB1"	"p70S6K-R-V_GBL9013284.txt"	"p70S6K-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1494-1"	"Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways"
"RPS6KB1"	"p70S6K_pT389-R-V_GBL9013285.txt"	"p70S6K_pT389-R-V"	"Validated"	"Rabbit"	"CST"	"9205"	"Mitogen-activated Ser/Thr protein kinase, Involved in PI3K, MAPK and PKC pathways"
"RPS6KA1"	"p90RSK-R-C_GBL9032516.txt"	"p90RSK-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9347"	"The 90 kDa ribosomal S6 kinases (RSK1-4) are a family of widely expressed Ser/Thr kinases involving in MAPK and PI3K signaling"
"RPS6KA1"	"p90RSK_pT359_S363-R-C_GBL9013438.txt"	"p90RSK_pT359_S363-R-C"	"Use with Caution"	"Rabbit"	"CST"	"9344"	"The 90 kDa ribosomal S6 kinases (RSK1-4) are a family of widely expressed Ser/Thr kinases involving in MAPK and PI3K signaling"
"SERPINE1"	"PAI-1-M-V_GBL9013500.txt"	"PAI-1-M-V"	"Under Evaluation"	"Mouse"	"BD Biosciences"	"612024"	"PAI-1 is a glycoprotein involves in tissue plasminogen activator (tPA) and urokinase PA (uPA) signaling"
"PARP1"	"PARP1-R-V_GBL9032520.txt"	"PARP1-R-V"	"Valid"	"Rabbit"	"Santa Cruz"	"sc-7150"	"Poly(ADP-ribose) polymerase-1 (PARP-1), also designated PARP, is a nuclear DNA-binding zinc finger protein that influences DNA repair, DNA replication, modulation of chromatin structure, and apoptosis. In response to genotoxic stress, PARP-1 catalyzes the transfer of ADP-ribose units from NAD(+) to a number of acceptor molecules including chromatin. PARP-1 recognizes DNA strand interruptions and can complex with RNA and negatively regulate transcription. Actinomycin D- and etoposide-dependent induction of caspases mediates cleavage of PARP-1 into a p89 fragment that traverses into the cytoplasm. Apoptosis-inducing factor (AIF) translocation from the mitochondria to the nucleus is PARP-1-dependent and is necessary for PARP-1-dependent cell death. PARP-1 deficiencies lead to chromosomal instability due to higher frequencies of chromosome fusions and aneuploidy, suggesting that poly(ADP-ribosyl)ation contributes to the efficient maintenance of genome integrity. PARP-2 is part of the base excision repair (BER) pathway, catalyzing the poly(ADP-ribosy)lation of nuclear proteins. PARP-2 is a nuclear, DNA-binding protein which interacts with PARP-1. PARP-2 is present in actively dividing tissues with highest levels in the kidney, skeletal muscle, liver, heart and spleen."
"PARP1"	"PARP_cleaved-M-E_GBL9013420.txt"	"PARP_cleaved-M-E"	"**Used for QC**"	"Mouse"	"CST"	"9546"	"PARP, a 116 kDa nuclear poly (ADP-ribose) polymerase, appears to be involved in DNA repair in response to environmental stress. This protein can be cleaved by many ICE-like caspases in vitro and is one of the main cleavage targets of caspase-3 in vivo. In human PARP, the cleavage occurs between Asp214 and Gly215, which separates the PARP amino-terminal DNA binding domain (24 kDa) from the carboxy-terminal catalytic domain (89 kDa). PARP helps cells to maintain their viability; cleavage of PARP facilitates cellular disassembly and serves as a marker of cells undergoing apoptosis."
"PXN"	"Paxillin-R-V_GBL9013288.txt"	"Paxillin-R-V"	"Use with Caution"	"Rabbit"	"Epitomics"	"1500-1"	"Involved in actin-membrane attachment, Regulates integrin signaling"
"CDH3"	"P-Cadherin-R-C_GBL9013223.txt"	"P-Cadherin-R-C"	"Under Evaluation"	"Rabbit"	"CST"	"2130"	"A member of transmembrane glycoprotein superfamily, Mediate calcium-dependent cell-cell adhesion and normal tissue development. "
"PCNA"	"PCNA-M-V_GBL9013360.txt"	"PCNA-M-V"	"Use with Caution"	"Mouse"	"Abcam"	"ab29"	"Involves in DNA repair"
"PDCD4"	"PDCD4-R-C_GBL9012498.txt"	"PDCD4-R-C"	"Use with Caution"	"Rabbit"	"Rockland"	"600-401-965"	"Pdcd4 directly inhibits the helicase activity of eukaryotic translation initiation factor 4A (eIF4A), a component of the translation initiation complex. Pdcd4 also suppresses the transactivation of activator protein-1 (AP-1)-responsive promoters by c-Jun. Pdcd4 contains two Akt phosphorylation sites, one at Ser67 and the other at Ser457. The phosphorylation of Pdcd4 by Akt causes nuclear translocation of Pdcd4 and a significant decrease in the ability of Pdcd4 to interfere with the transactivation of AP-1-responsive promoters by c-Jun."
"PDK1"	"PDK1-R-V_GBL9029118.txt"	"PDK1-R-V"	"Validated"	"Rabbit"	"CST"	"3062"	"Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling"
"PDK1"	"PDK1_pS241-R-V_GBL9013289.txt"	"PDK1_pS241-R-V"	"Validated"	"Rabbit"	"CST"	"3061"	"Phosphoinositide-dependent protein kinase 1, involved in PI3K/AKT and PKC signaling"
"PEA15"	"PEA15-R-V_GBL9013290.txt"	"PEA15-R-V"	"Validated"	"Rabbit"	"CST"	"2780"	"Coordinate cell growth, death, and glucose utilization. Involved in MAPK  signaling"
"PEA15"	"PEA15_pS116-R-V_GBL9029119.txt"	"PEA15_pS116-R-V"	"Validated"	"Rabbit"	"Invitrogen"	"44-836G"	"Implicated in the regulation of multiple cellular processes including apoptosis, integrin activation, and insulin-sensitive glucose transport in insulin-responsive cells. Its activation mediated through binding to multiple proteins, including ERK1&2, RSK2, Akt, FADD, and Caspase-8."
"PIK3CA "	"PI3K-p110-alpha-R-C_GBL9013291.txt"	"PI3K-p110-alpha-R-C"	"Use with Caution"	"Rabbit"	"CST"	"4255"	"One of the of the catalytic subunit of PI3K"
"PIK3R1 PIK3R2"	"PI3K-p85-R-V_GBL9029128.txt"	"PI3K-p85-R-V"	"Validated"	"Rabbit"	"Upstate (Millipore)"	"06-195"	"PI3K p85 regulatory subunit"
"PRKCA "	"PKC-alpha-M-V_GBL9013374.txt"	"PKC-alpha-M-V"	"Validated"	"Mouse"	"Upstate (Millipore)"	"05-154"	"PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions "
"PRKCA "	"PKC-alpha_pS657-R-V_GBL9013293.txt"	"PKC-alpha_pS657-R-V"	"Use with Caution"	"Rabbit"	"Upstate (Millipore)"	"06-822"	"PKC alpha is an ubiquitously expressed PKC isozyme that has been implicated in the regulation of a broad range of cellular functions "
"PRKCD"	"PKC-delta_pS664-R-V_GBL9013484.txt"	"PKC-delta_pS664-R-V"	"Validated"	"Rabbit"	"Millipore"	"07-875"	"PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins. PKC also serves as the receptor for phorbol esters, a class of tumor promoters."
"PRKCB"	"PKC-pan_BetaII_pS660-R-V_GBL9029120.txt"	"PKC-pan_BetaII_pS660-R-V"	"Validated"	"Rabbit"	"CST"	"9371"	"Activation of protein kinase C (PKC) is one of the earliest events in a cascade that controls a variety of cellular responses, including secretion, gene expression, proliferation, and muscle contraction"
"PGR"	"PR-R-V_GBL9013294.txt"	"PR-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1483-1"	"Progesterone receptor, Transcription Factor"
"AKT1S1"	"PRAS40_pT246-R-V_GBL9013295.txt"	"PRAS40_pT246-R-V"	"Validated"	"Rabbit"	"Biosource"	"441100G"	"PRAS40 is a 14-3-3 binding protein that reacts with insulin. PRAS40 is phosphorylated by AKT"
"PRDX1"	"PRDX1-R-E_GBL9013449.txt"	"PRDX1-R-E"	"Under Evaluation"	"Rabbit"	"Sigma/Atlas"	"HPA007730"	"A member of the peroxiredoxin family of antioxidant enzymes, which reduce hydrogen peroxide and alkyl hydroperoxides. "
"PREX1"	"PREX1-R-E_GBL9013511.txt"	"PREX1-R-E"	"Under Evaluation"	"Rabbit"	"Abcam"	"ab102739"	"Downstream of Heterotrimric G proteins (Guanine nucleotide exchange factor)"
"PTEN"	"PTEN-R-V_GBL9013297.txt"	"PTEN-R-V"	"Validated"	"Rabbit"	"CST"	"9552"	"A lipid and protein phosphatase, a tumor suppressor, Major negative regulator of PI3K/AKT signaling"
"RAB11A RAB11B"	"Rab11-R-E_GBL9011924.txt"	"Rab11-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"3539"	"Rab11 family posseses small Ras-like GTPase activity. Rab11 family includes Rab11a, Rab11b and Rab25 "
"RAB25"	"Rab25-R-V_GBL9029130.txt"	"Rab25-R-V"	"Validated"	"Rabbit"	"CST"	"4314"	"A member of Rab11 family posseses small Ras-like GTPase activity.  Increased Rab25 expression is associated with aggressive growth in ovarian and breast cancer, where Rab25 may inhibit apoptosis and promote cancer cell proliferation and invasion through regulation of vesicle transport and cellular motility."
"RAD50"	"Rad50-M-C_GBL9013362.txt"	"Rad50-M-C"	"Validated"	"Mouse"	"Millipore"	"05-525"	"Involved in DNA double-strand break repair"
"RAD51"	"Rad51-M-C_GBL9013385.txt"	"Rad51-M-C"	"Under Evaluation"	"Mouse"	"Chem Biotech"	"na 71"	"Involved in DNA double-strand break repair"
"RPTOR"	"Raptor-R-V_GBL9029121.txt"	"Raptor-R-V"	"Validated"	"Rabbit"	"CST"	"2280"	"The regulatory associated protein of mTOR (Raptor) was identified as an mTOR binding partner that mediates mTOR signaling to downstream targets. Recently raptor has been identified as a direct substrate of the AMP-activated protein kinase (AMPK). "
"RB1"	"Rb-M-E_GBL9013387.txt"	"Rb-M-E"	"**Used for QC**"	"Mouse"	"CST"	"9309"	"The retinoblastoma tumor suppressor protein Rb regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle. Rb has three functionally distinct binding domains and interacts with critical regulatory proteins including the E2F family of transcription factors, c-Abl tyrosine kinase, and proteins with a conserved LXCXE motif (2-4). Cell cycle-dependent phosphorylation by a CDK inhibits Rb target binding and allows cell cycle progression. Rb inactivation and subsequent cell cycle progression likely requires an initial phosphorylation by cyclin D-CDK4/6 followed by cyclin E-CDK2 phosphorylation. Specificity of different CDK/cyclin complexes has been observed in vitro and cyclin D1 is required for Ser780 phosphorylation in vivo."
"RBM15"	"RBM15-R-V_GBL9029142.txt"	"RBM15-R-V"	"Validated"	"Rabbit"	"SDI / Novus"	"21390002"	"RBM15, have repressor function in several signaling pathways"
"RB1"	"Rb_pS807_S811-R-V_GBL9013301.txt"	"Rb_pS807_S811-R-V"	"Validated"	"Rabbit"	"CST"	"9308"	"The retinoblastoma tumor suppressor protein regulates cell proliferation by controlling progression through the restriction point within the G1-phase of the cell cycle"
"RICTOR"	"Rictor-R-C_GBL9029133.txt"	"Rictor-R-C"	"UsewithCaution"	"Rabbit"	"CST"	"2114"	"Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT"
"RICTOR"	"Rictor_pT1135-R-V_GBL9029134.txt"	"Rictor_pT1135-R-V"	"Validated"	"Rabbit"	"CST"	"3806"	"Rapamycin-insensitive companion of mTOR mediate rictor-mTOR signaling and phosphorylates Akt/PKB on Ser473 required for the full activation of AKT"
"RPS6"	"S6-R-E_GBL9013302.txt"	"S6-R-E"	"Under Evaluation"	"Rabbit"	"CST"	"2217"	"Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation"
"RPS6"	"S6_pS235_S236-R-V_GBL9013303.txt"	"S6_pS235_S236-R-V"	"Validated"	"Rabbit"	"CST"	"2211"	"Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation"
"RPS6"	"S6_pS240_S244-R-V_GBL9013411.txt"	"S6_pS240_S244-R-V"	"Validated"	"Rabbit"	"CST"	"2215"	"Down stream of PI3K/AKT/mTOR/p70 S6 kinase, Involved in growth factors and mitogens induced protein translation"
"SCD"	"SCD-M-V_GBL9013502.txt"	"SCD-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-58420"	"Stearoyl-CoA desaturase (SCD) is a microsomal enzyme required for the synthesis of oleate and palmitoleate, which are the major monounsaturated fatty acids of membrane phospholipids, triglycerides and cholesterol esters."
"SETD2"	"SETD2-R-E_GBL9013256.txt"	"SETD2-R-E"	"**Used for QC**"	"Rabbit"	"Abcam"	"ab69836"	"SETD2 is a Histone methyltransferase that methylates 'Lys-36' of histone H3. H3 'Lys-36' methylation represents a specific tag for epigenetic transcriptional activation. Probably plays a role in chromatin structure modulation during elongation via its interaction with hyperphosphorylated POLR2A. Binds DNA at promoters. May also act as a transcription activator that binds to promoters. Binds to the promoters of adenovirus 12 E1A gene in case of infection, possibly leading to regulate its expression."
"SRSF1"	"SF2-M-V_GBL9019140.txt"	"SF2-M-V"	"Validated"	"Mouse"	"Invitrogen"	"32-4500"	"The SF proteins are essential splicing factors and also regulate alternative splicing of many pre-mRNAs."
"SHC1"	"Shc_pY317-R-V_GBL9013304.txt"	"Shc_pY317-R-V"	"Validated"	"Rabbit"	"CST"	"2431"	"Serves as a scaffold protein in signaling for a variety of receptor tyrosine kinases"
"PTPN11"	"SHP-2_pY542-R-C_GBL9032545.txt"	"SHP-2_pY542-R-C"	""	""	""	""	""
"SLC1A5"	"SLC1A5-R-C_GBL9032522.txt"	"SLC1A5-R-C"	""	""	""	""	""
"DIABLO"	"Smac-M-E_GBL9013476.txt"	"Smac-M-E"	"**Used for QC**"	"Mouse"	"CST"	"2954"	"Smac/Diablo is a 21 kDa mammalian mitochondrial protein that functions as a regulatory component during apoptosis. Upon mitochondrial stress, Smac/Diablo is released from mitochondria and competes with caspases for binding of IAPs (inhibitor of apoptosis proteins). The interaction of Smac/Diablo with IAPs relieves the inhibitory effect of the IAPs on caspases. This interaction involves mainly the amino-terminal residues of Smac/Diablo with the BIR3 region of XIAP, supplemented with several other hydrophobic interactions between the helical structures of Smac/Diablo and other areas of BIR3."
"SMAD1"	"Smad1-R-V_GBL9013485.txt"	"Smad1-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1649-1"	"Mediates TGF beta signaling"
"SMAD3"	"Smad3-R-V_GBL9013305.txt"	"Smad3-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1735-1"	"Mediates TGF beta signaling"
"SMAD4"	"Smad4-M-C_GBL9013389.txt"	"Smad4-M-C"	"Validated"	"Mouse"	"Santa Cruz"	"sc-7966"	"Mediates TGF beta signaling"
"SNAI1"	"Snail-M-E_GBL9013426.txt"	"Snail-M-E"	"**Used for QC**"	"Mouse"	"CST"	"3895"	"Snail is a zinc-finger transcription factor that can repress E-cadherin transcription. Downregulation of E-cadherin is associated with epithelial-mesenchymal transition during embryonic development, a process also exploited by invasive cancer cells. Indeed, loss of E-cadherin expression is correlated with the invasive properties of some tumors and there is a considerable inverse correlation between Snail and E-cadherin mRNA levels in epithelial tumor cell lines. In addition, Snail blocks the cell cycle and confers resistance to cell death. Phosphorylation of Snail by GSK-3 and PAK1 regulates its stability, cellular localization and function."
"SRC"	"Src-M-V_GBL9013358.txt"	"Src-M-V"	"Validated"	"Mouse"	"Upstate (Millipore)"	"05-184"	"A member of Src family of protein tyrosine kinases"
"SRC"	"Src_pY416-R-C_GBL9013307.txt"	"Src_pY416-R-C"	"Use with Caution"	"Rabbit"	"CST"	"2101"	"A member of Src family of protein tyrosine kinases"
"SRC"	"Src_pY527-R-V_GBL9013306.txt"	"Src_pY527-R-V"	"Validated"	"Rabbit"	"CST"	"2105"	"A member of Src family of protein tyrosine kinases"
"STAT3"	"STAT3_pY705-R-V_GBL9013308.txt"	"STAT3_pY705-R-V"	"Validated"	"Rabbit"	"CST"	"9131"	"Signal transducer and activator of transcription 3 functions both in signal transduction and activation of transcription"
"STAT5A"	"STAT5-alpha-R-V_GBL9013309.txt"	"STAT5-alpha-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1289-1"	"Signal transducer and activator of transcription 5 functions both in signal transduction and activation of transcription"
"STMN1"	"Stathmin-R-V_GBL9013310.txt"	"Stathmin-R-V"	"Validated"	"Rabbit"	"Epitomics"	"1972-1"	"Ubiquitous cytosolic phosphoprotein"
"SYK"	"Syk-M-V_GBL9013477.txt"	"Syk-M-V"	"Validated"	"Mouse"	"Santa Cruz"	"sc-1240"	"One of several members of the protein kinase superfamily involved in PI3K and PLC signaling"
"WWTR1"	"TAZ-R-V_GBL9029129.txt"	"TAZ-R-V"	"Validated"	"Rabbit"	"CST"	"2149"	"Transcriptional co-activator"
